Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
12;user6640;tweet66831;2019-10-19 03:17:00;FALSO;FALSO;FALSO;es;Me paso mil días sin venir y después vuelvo a dar rt sólo a cosas que están pasando en Chile, pero es que qué rabia ver como se le echa la culpa de todo a la gente y no hacen nada por arreglarlo;201910190;3;7
45;user1684;tweet70804;2019-10-19 13:03:00;FALSO;FALSO;FALSO;es;"@sebastianpinera Es el momento oportuno para que SAQUE a @andreschadwickp por inoperante; cierre la Cámara de Diputados por zánganos y caros; modifique el Código Penal para que se puedan aplicar penas de verdad y devuélvale ALGO de autoridad a @Carabdechile #Ahorro$";201910190;13;7
104;user1686;tweet66485;2019-10-19 03:04:00;FALSO;FALSO;FALSO;es;@meganoticiascl  nadie avala el saqueo, pero seamos honestos, la@población está aburrida, de que nos roben y saqueen de por vida y con el beneplácito de nuestros gobiernos #NoMasAbuso #NoMasAlzas;201910190;3;7
117;user1686;tweet66413;2019-10-19 03:00:00;FALSO;FALSO;FALSO;es;Ojo... todos los cambios parten en el pueblo !! https://t.co/qA8WlRk1fW;201910190;3;7
144;user6644;tweet71695;2019-10-19 14:26:00;FALSO;FALSO;FALSO;es;Nadie me saca de la cabeza que la vieja sigue estando detrás de todo. @SeMurioLaVieja ? NO.;201910190;14;7
189;user1687;tweet71321;2019-10-19 13:51:00;FALSO;FALSO;FALSO;es;Por favor no suban las cotizaciones de independientes más del 10%  somos muchos los profesores que trabajamos de manera independiente y no tenemos otro ingreso, nos afecta mucho de manera negativa! @sebastianpinera  @GobiernodeChile  @DiputadosChile  @CamaraDiputados;201910190;13;7
203;user1688;tweet74618;2019-10-19 18:14:00;FALSO;FALSO;FALSO;es;Ossandon siempre ha sido un payaso, pero hoy lo encontré certero! #EvasionTodoElDía;201910190;18;7
205;user1688;tweet79967;2019-10-19 23:10:00;FALSO;FALSO;FALSO;es;"PIÑERA DEBE RENUNCIAR!!!,??
NO SE LA PUDO. 
SI QUIEREN ELIMINAR DELINCUENTES, QUE EMPIECE EL CABECILLA #TOQUEDEQUEDA #URGENTE #PIÑERA";201910190;23;7
208;user1688;tweet79860;2019-10-19 23:05:00;FALSO;FALSO;FALSO;es;"No se suponía que esto iba a pasar si ganaba @guillier???
Vergüenza nacional ??, no se expongan cabros, no queremos amanecer con muertes! #toquedequeda";201910190;23;7
479;user1690;tweet79838;2019-10-19 23:04:00;FALSO;FALSO;FALSO;es;#toquedequeda que conste que el toque de queda es efecto de políticos ineficientes, que meten a sus parientes en politica y paneles de expertos que no son expertos en la realidad de la gente;201910190;23;7
