Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
195043;user1708;tweet247042;2019-11-03 15:20:00;FALSO;FALSO;FALSO;es;"Nos fuimos quedando en silencio Schwenke &amp; Nilo con letra Edo - YouTube 

PENOSAMENTE VIGENTE  https://t.co/eWsMYHkVKn";201911030;15;1
195046;user1708;tweet248651;2019-11-03 20:50:00;FALSO;FALSO;FALSO;es;La habías visto @LaRuciaLoca  ? https://t.co/aptkKc97gj;201911030;20;1
195158;user6649;tweet245328;2019-11-03 04:15:00;FALSO;FALSO;FALSO;es;"A que connotado wn de Rodelillo están velando?
Adivinen que institución wena pa jalar ha brillado por su ausencia.";201911030;4;1
195188;user11343;tweet249608;2019-11-03 23:55:00;FALSO;FALSO;FALSO;es;"ahora cada vez que escuche jopping me acordaré de esto 
https://t.co/GhUlTXMmYU";201911030;23;1
195190;user11343;tweet247125;2019-11-03 15:31:00;FALSO;FALSO;FALSO;es;"holi, vengo a recordarles que QUEDA UN DÍA PARA EL COMEBAAAAAACK 
https://t.co/UPq1vdsMNw";201911030;15;1
195296;user11358;tweet246846;2019-11-03 14:47:00;FALSO;FALSO;FALSO;es;Sobrado;201911030;14;1
195353;user1717;tweet248398;2019-11-03 19:59:00;FALSO;FALSO;FALSO;es;ayudenme a denunciar!!! rt  @Carabdechile @PDI_CHILE https://t.co/GmNiyBFAGU;201911030;19;1
195386;user11375;tweet244014;2019-11-03 00:27:00;FALSO;FALSO;FALSO;es;Soy más sueño que persona;201911030;0;1
195461;user1723;tweet246742;2019-11-03 14:28:00;FALSO;FALSO;FALSO;es;Una canallada de @KarlaEnAccion poner en duda el rol de observador del @inddhh herido por carabineros. Si era un funcionario administrativo y fue de observador, qué diferencia hace? #EstadoNacional;201911030;14;1
195465;user1723;tweet247569;2019-11-03 16:57:00;FALSO;FALSO;FALSO;es;A no caer en el truco fácil de los que echan todos en el mismo saco.  Ese recurso lo ha usado la derecha desde siempre y en todo el mundo. https://t.co/WoGc4NF8tI;201911030;16;1
195468;user1723;tweet246719;2019-11-03 14:24:00;FALSO;FALSO;FALSO;es;Cuando empieza la entrevista a @KarlaEnAccion en #EstadoNacional ? Hasta ahora ha sido puro discurso y lloriqueo de ella.;201911030;14;1
195497;user1727;tweet245923;2019-11-03 11:20:00;FALSO;FALSO;FALSO;es;Todos los chilenos: Una Nueva Constitución para Chile! - ĦFirma la petición! https://t.co/cHYz664FkR vía @ChangeorgLatino;201911030;11;1
